Satellite ID,Satellite Type,Orbit Type,date time,Frequency Bands,Ground Station ID,Location (Latitude),Location (Longitude)),data,qubit,basis,measurement_result,Communication Protocols,Security Protocols,error_rate,timestamp
23155-214,navigation,Sun-synchronous orbit (SSO),8/5/2022,VHF,68654-575,38.6345028,-9.0116724,15,0,X,1,DVB-S2,QKD,0.84,7/18/2022
21130-760,communication,geostationary orbit (GEO),6/25/2021,UHF,58160-810,49.4709886,6.3640878,79,1,Z,0,CCSDS,QKD,0.87,9/17/2022
0065-0275,Earth observation,geostationary transfer orbit (GTO),5/17/2020,VHF,13537-275,-13.3057641,-72.1156281,68,0,X,0,CCSDS,QKD,0.2,5/19/2022
65044-5000,communication,Low Earth orbit (LEO),6/30/2022,Ka-band,51978-1001,7.0849817,124.9011398,39,1,X,1,DVB-S2,IPsec,0.84,6/15/2022
55154-4034,astronomical,geostationary orbit (GEO),7/2/2022,Ka-band,49884-650,53.2639896,23.7725,79,1,X,0,CCSDS,QKD,0.48,9/20/2022
67046-017,astronomical,medium Earth orbit (MEO),6/21/2020,UHF,62037-524,-8.3081,113.4586,59,1,X,0,CCSDS,QKD,0.68,8/21/2022
66435-103,astronomical,geostationary orbit (GEO),4/14/2022,Ka-band,35000-850,44.025555,1.378056,98,0,X,0,SLE,QKD,0.56,4/4/2022
68788-9717,navigation,geostationary transfer orbit (GTO),6/15/2022,VHF,52533-096,59.3398021,18.0802922,84,0,X,0,CCSDS,QKD,0.74,11/12/2022
68479-313,astronomical,geostationary transfer orbit (GTO),7/10/2020,Ku-band,66780-310,-8.412098,119.866554,99,0,Z,0,CCSDS,IPsec,0.38,8/4/2022
58232-0023,Earth observation,medium Earth orbit (MEO),3/8/2022,VHF,66336-486,-9.5128,120.1979,52,1,Z,0,AES,IPsec,0.55,3/2/2022
68196-532,navigation,geostationary orbit (GEO),10/9/2020,Ku-band,68026-503,39.0054084,21.6386381,64,1,X,1,AES,QKD,0.81,7/16/2022
49288-0169,navigation,Sun-synchronous orbit (SSO),2/22/2021,Ku-band,68828-191,-7.8816972,113.7781575,33,1,Z,0,DVB-S2,IPsec,0.62,11/5/2022
68788-0384,astronomical,medium Earth orbit (MEO),12/14/2020,Ku-band,53305-065,37.4562557,126.7052062,71,0,Z,0,DVB-S2,QKD,0.83,4/7/2022
44087-1150,Earth observation,medium Earth orbit (MEO),12/25/2020,VHF,10812-383,50.2435433,18.2914811,88,0,Z,1,SLE,IPsec,0.82,8/26/2022
67544-479,communication,Low Earth orbit (LEO),9/18/2022,Ka-band,43598-222,-6.8300602,110.8374104,25,0,Z,1,TCP/IP,IPsec,0.4,9/3/2022
56062-987,astronomical,geostationary orbit (GEO),10/22/2021,Ku-band,0904-6124,35.6704666,139.6596071,92,1,Z,0,TCP/IP,QKD,0.43,1/8/2022
64380-721,communication,Sun-synchronous orbit (SSO),2/21/2022,Ka-band,11527-057,32.679852,-16.8502879,63,0,Z,0,TCP/IP,IPsec,0.05,4/6/2022
48951-8145,communication,Sun-synchronous orbit (SSO),9/13/2022,UHF,43353-389,22.533583,113.968498,14,0,Z,1,TCP/IP,QKD,0.21,10/7/2022
35356-995,Earth observation,Sun-synchronous orbit (SSO),5/30/2020,Ka-band,49288-0818,-6.1583904,106.4288088,37,0,X,1,CCSDS,QKD,0.11,9/27/2022
60429-360,Earth observation,geostationary transfer orbit (GTO),4/14/2022,UHF,36987-3160,22.9758497,90.6962853,87,0,X,1,SLE,QKD,0.55,2/1/2022
46084-091,communication,geostationary orbit (GEO),6/2/2020,Ku-band,50436-6104,48.8383589,2.6618245,83,0,Z,0,TCP/IP,IPsec,0.09,11/29/2022
0904-6302,Earth observation,geostationary transfer orbit (GTO),3/2/2022,Ku-band,54575-093,52.339987,20.3286222,66,1,X,1,TCP/IP,QKD,0.55,9/16/2022
49349-514,astronomical,Low Earth orbit (LEO),10/26/2021,Ku-band,43269-728,40.03553,44.1783042,6,0,Z,1,CCSDS,QKD,0.05,8/9/2022
61314-447,communication,medium Earth orbit (MEO),8/30/2020,Ku-band,54753-001,39.4596137,-87.3478243,90,0,Z,1,TCP/IP,IPsec,0.78,3/17/2022
10237-801,navigation,geostationary transfer orbit (GTO),10/7/2021,Ku-band,52125-220,42.4423768,-8.6463086,29,0,X,0,DVB-S2,QKD,0.31,4/29/2022
54868-5213,Earth observation,geostationary transfer orbit (GTO),2/22/2021,VHF,55111-546,60.1536833,15.196697,58,1,X,0,TCP/IP,QKD,0.58,6/14/2022
43742-0382,astronomical,geostationary orbit (GEO),6/6/2022,UHF,14783-604,31.036218,120.921726,75,1,X,0,DVB-S2,QKD,0.85,1/7/2022
68788-9738,Earth observation,medium Earth orbit (MEO),1/16/2022,VHF,41520-751,-13.6332,-72.232262,21,1,Z,1,DVB-S2,QKD,0.93,8/2/2022
61715-092,communication,Low Earth orbit (LEO),12/16/2020,Ka-band,66758-130,-4.8919744,105.2779983,9,1,X,1,SLE,IPsec,0.43,8/19/2022
63824-319,navigation,Low Earth orbit (LEO),2/16/2022,Ku-band,10544-127,21.8628802,106.5377839,19,0,X,0,TCP/IP,QKD,0.55,10/31/2022
49999-823,Earth observation,geostationary orbit (GEO),11/19/2021,Ku-band,0268-0620,40.882377,122.685217,70,1,X,0,TCP/IP,QKD,1.0,3/14/2022
0363-0211,communication,Low Earth orbit (LEO),9/28/2020,VHF,60681-1205,41.3047616,69.2817267,56,0,Z,1,CCSDS,IPsec,0.73,10/6/2022
52125-853,communication,medium Earth orbit (MEO),11/17/2020,Ku-band,36800-807,55.317303,21.017718,78,0,X,0,DVB-S2,QKD,0.02,4/5/2022
55301-852,communication,Low Earth orbit (LEO),4/24/2021,UHF,60793-145,-29.4169973,24.7380385,45,0,X,0,TCP/IP,QKD,0.19,8/27/2022
58414-8727,Earth observation,medium Earth orbit (MEO),1/19/2020,VHF,0067-4850,14.6561238,-16.2345633,20,1,Z,0,AES,IPsec,0.44,7/16/2022
0023-1145,astronomical,Low Earth orbit (LEO),8/29/2020,UHF,11822-5161,4.9428987,-76.0285737,27,0,Z,0,TCP/IP,QKD,0.96,9/12/2022
0409-2776,Earth observation,Low Earth orbit (LEO),2/19/2022,UHF,0009-5013,45.597839,126.637515,83,0,X,0,SLE,IPsec,0.67,10/15/2022
76282-238,communication,geostationary orbit (GEO),5/14/2020,UHF,51285-275,67.1356306,20.6831751,70,0,X,1,SLE,QKD,0.12,6/15/2022
0781-5325,astronomical,geostationary orbit (GEO),8/3/2020,Ku-band,59779-623,29.5530941,118.9353968,22,1,X,1,CCSDS,QKD,0.47,12/28/2022
0093-2131,navigation,geostationary orbit (GEO),8/13/2020,Ka-band,50536-192,33.4644365,36.3023941,35,0,X,1,CCSDS,IPsec,0.58,11/21/2022
0527-1392,navigation,geostationary transfer orbit (GTO),8/23/2020,UHF,68180-557,59.2254827,9.5589227,20,0,Z,0,TCP/IP,QKD,0.99,11/11/2022
0781-5182,Earth observation,geostationary orbit (GEO),2/8/2020,VHF,54868-6042,55.874056,37.690366,41,0,X,0,AES,IPsec,0.22,2/14/2022
16729-181,navigation,Low Earth orbit (LEO),2/8/2020,UHF,0268-6775,29.746561,111.778931,8,1,Z,1,AES,QKD,0.56,5/2/2022
54569-5255,astronomical,Low Earth orbit (LEO),1/25/2021,Ku-band,64117-587,22.517585,113.39277,10,0,X,1,TCP/IP,IPsec,0.27,2/12/2022
67618-149,Earth observation,Sun-synchronous orbit (SSO),6/2/2022,Ka-band,43498-108,-8.339355,122.9634852,55,1,X,0,TCP/IP,QKD,0.02,10/18/2022
16590-175,Earth observation,geostationary orbit (GEO),11/26/2022,Ka-band,65954-007,39.9041999,116.4073963,60,1,X,1,SLE,IPsec,0.78,10/22/2022
49738-110,Earth observation,geostationary transfer orbit (GTO),7/20/2021,Ku-band,47335-614,13.6333332,122.8833313,5,1,X,1,AES,IPsec,0.39,11/29/2022
0641-6075,navigation,medium Earth orbit (MEO),7/13/2021,Ku-band,36987-2369,-12.1444393,-44.9965028,5,1,X,0,DVB-S2,QKD,0.72,8/7/2022
0135-0529,astronomical,medium Earth orbit (MEO),1/14/2022,UHF,42023-113,-30.1180899,-51.9615457,56,1,X,0,SLE,IPsec,0.19,5/12/2022
64406-803,Earth observation,geostationary orbit (GEO),5/16/2022,Ka-band,59779-070,39.2699174,-9.1052924,39,0,Z,0,TCP/IP,IPsec,0.68,5/27/2022
0187-3013,communication,medium Earth orbit (MEO),1/8/2021,Ka-band,10742-8782,22.801624,113.525165,81,0,X,1,TCP/IP,QKD,0.97,10/23/2022
55910-720,astronomical,geostationary orbit (GEO),3/21/2021,UHF,52125-936,38.2031194,23.9632194,61,0,X,1,SLE,IPsec,0.75,9/30/2022
43063-419,navigation,geostationary transfer orbit (GTO),7/27/2021,VHF,51346-219,45.2224944,21.1806058,28,0,Z,1,DVB-S2,IPsec,0.32,9/4/2022
55714-2232,astronomical,Low Earth orbit (LEO),11/19/2021,UHF,48951-0077,28.1328796,-15.4393074,96,1,X,0,AES,IPsec,0.85,4/15/2022
24385-910,Earth observation,Low Earth orbit (LEO),6/14/2020,UHF,52533-137,35.758786,116.805796,62,1,X,1,AES,IPsec,0.8,1/5/2022
36987-2407,navigation,medium Earth orbit (MEO),8/31/2022,VHF,63323-293,29.204461,116.512037,49,0,Z,1,CCSDS,IPsec,0.7,10/31/2022
0703-1020,communication,Sun-synchronous orbit (SSO),10/8/2021,Ka-band,37808-306,22.517585,113.39277,74,0,X,1,DVB-S2,IPsec,0.25,11/10/2022
43857-0099,astronomical,geostationary transfer orbit (GTO),7/3/2020,Ka-band,0187-5150,22.994717,113.608903,77,1,Z,1,AES,QKD,0.66,10/21/2022
0378-1404,navigation,Sun-synchronous orbit (SSO),11/2/2021,Ka-band,49288-0437,-2.9481126,104.6937674,56,1,Z,1,SLE,IPsec,0.31,1/1/2022
0268-0889,navigation,Sun-synchronous orbit (SSO),2/29/2020,UHF,0597-0019,49.794137,18.1457156,9,0,X,1,AES,IPsec,0.9,6/9/2022
42291-652,astronomical,medium Earth orbit (MEO),5/6/2022,UHF,54569-5800,34.542308,118.752842,82,1,X,1,CCSDS,QKD,0.0,1/3/2022
64942-1301,communication,geostationary orbit (GEO),6/26/2021,Ku-band,68258-8922,22.863502,114.333767,64,0,Z,1,AES,QKD,0.32,8/29/2022
0462-0392,navigation,Sun-synchronous orbit (SSO),12/29/2021,Ka-band,67296-0377,34.962575,105.480493,67,1,Z,0,DVB-S2,QKD,0.9,7/10/2022
59779-651,navigation,medium Earth orbit (MEO),4/24/2022,VHF,0054-0189,23.681533,110.584168,19,0,X,1,DVB-S2,IPsec,0.07,2/2/2022
34666-081,communication,Low Earth orbit (LEO),9/19/2020,UHF,21695-299,-8.6635365,118.8480284,90,0,X,1,AES,QKD,0.89,5/18/2022
53345-015,Earth observation,Sun-synchronous orbit (SSO),5/6/2021,Ka-band,0378-6070,3.5399846,39.0528407,38,1,Z,1,TCP/IP,QKD,0.87,12/7/2022
0378-2025,Earth observation,geostationary orbit (GEO),9/30/2020,VHF,58668-2871,22.2866176,114.148724,3,1,Z,1,DVB-S2,QKD,0.96,3/13/2022
49738-499,Earth observation,Low Earth orbit (LEO),9/6/2022,UHF,68472-079,-2.688962,111.622398,93,1,Z,1,DVB-S2,IPsec,0.82,5/8/2022
64616-103,Earth observation,Sun-synchronous orbit (SSO),8/29/2020,Ku-band,51079-286,14.5033033,-90.5721841,74,1,Z,1,TCP/IP,IPsec,0.34,3/26/2022
0440-7027,Earth observation,Low Earth orbit (LEO),9/15/2022,UHF,24357-702,-9.9836173,124.4420073,9,1,Z,0,TCP/IP,IPsec,0.84,4/15/2022
54575-407,Earth observation,geostationary orbit (GEO),3/9/2020,VHF,49643-423,14.6511524,121.0314508,91,1,X,0,TCP/IP,IPsec,0.42,9/16/2022
15127-980,astronomical,medium Earth orbit (MEO),6/24/2022,UHF,0409-2552,38.7052727,-9.3896587,15,0,X,1,CCSDS,IPsec,0.32,2/11/2022
0574-0120,Earth observation,geostationary transfer orbit (GTO),7/4/2022,VHF,55038-002,40.5982816,-8.643537,100,0,Z,0,TCP/IP,IPsec,0.45,8/30/2022
42023-140,navigation,geostationary orbit (GEO),7/27/2022,UHF,54162-269,47.49371,87.54161,87,1,Z,0,TCP/IP,QKD,0.55,3/16/2022
76168-057,navigation,Low Earth orbit (LEO),11/26/2022,UHF,43128-118,28.03825,120.892196,11,1,X,0,TCP/IP,IPsec,0.03,11/19/2022
36987-2752,navigation,medium Earth orbit (MEO),10/27/2021,Ka-band,49884-600,53.4004864,83.9124232,48,0,X,0,DVB-S2,IPsec,0.55,10/9/2022
57520-0659,navigation,Sun-synchronous orbit (SSO),6/13/2020,VHF,76166-002,54.1433253,-9.7359765,60,1,Z,0,CCSDS,QKD,0.47,5/25/2022
49999-227,navigation,geostationary orbit (GEO),11/4/2021,Ku-band,59630-912,-10.2313205,-67.2847875,93,0,X,0,DVB-S2,QKD,0.14,8/23/2022
24385-276,communication,geostationary transfer orbit (GTO),1/30/2022,UHF,68428-127,10.5534497,34.2824429,69,1,Z,1,DVB-S2,QKD,0.66,7/20/2022
51079-589,astronomical,geostationary transfer orbit (GTO),10/5/2022,Ka-band,0615-5589,30.6795086,30.9427433,11,1,X,0,TCP/IP,IPsec,0.3,4/13/2022
35000-834,Earth observation,Sun-synchronous orbit (SSO),5/4/2020,Ku-band,42291-236,35.066619,116.311532,34,1,X,1,TCP/IP,IPsec,0.59,5/9/2022
42291-610,Earth observation,geostationary transfer orbit (GTO),5/11/2021,Ku-band,0264-7612,-7.6659463,109.8946083,17,1,Z,0,TCP/IP,QKD,0.33,9/4/2022
0069-0138,communication,Low Earth orbit (LEO),2/17/2020,VHF,63940-540,31.654375,120.752481,90,1,X,1,SLE,QKD,0.9,9/13/2022
59746-308,astronomical,medium Earth orbit (MEO),4/9/2021,UHF,36987-1998,30.594336,105.236903,36,1,Z,1,CCSDS,QKD,0.25,10/11/2022
51862-181,Earth observation,Low Earth orbit (LEO),11/27/2022,VHF,55289-711,-7.3266223,108.2881709,74,1,Z,0,SLE,QKD,0.71,10/7/2022
61715-063,Earth observation,geostationary orbit (GEO),2/25/2021,Ku-band,42507-807,-6.9140979,112.4708685,68,0,X,0,DVB-S2,IPsec,0.4,3/28/2022
68472-082,navigation,Sun-synchronous orbit (SSO),8/21/2021,Ku-band,58468-0041,-1.877183,106.1149182,26,1,X,0,CCSDS,QKD,0.8,1/7/2022
14783-444,navigation,Sun-synchronous orbit (SSO),2/11/2022,Ka-band,0904-5496,31.7216,35.19243,76,1,Z,1,DVB-S2,QKD,0.94,10/13/2022
66129-020,astronomical,geostationary orbit (GEO),5/15/2021,VHF,0115-2622,48.8334498,24.5221952,65,0,X,1,CCSDS,QKD,0.55,5/11/2022
13985-014,astronomical,geostationary orbit (GEO),6/14/2022,Ku-band,33342-087,14.93278,47.02763,82,0,X,0,SLE,IPsec,0.39,1/22/2022
49035-799,navigation,medium Earth orbit (MEO),3/27/2022,VHF,0517-7210,49.8691711,22.9586235,15,1,Z,1,TCP/IP,IPsec,0.3,9/20/2022
0781-5669,communication,Low Earth orbit (LEO),11/3/2022,VHF,59427-703,38.0625172,23.7946578,33,0,X,1,SLE,QKD,0.31,2/13/2022
47682-165,Earth observation,Low Earth orbit (LEO),2/9/2021,UHF,67457-340,48.4470051,23.2604434,32,0,X,0,SLE,IPsec,0.56,6/30/2022
52125-811,communication,medium Earth orbit (MEO),7/11/2021,Ka-band,59762-1302,-14.0648657,-42.4858867,12,0,X,0,SLE,QKD,0.7,12/1/2022
76237-127,astronomical,medium Earth orbit (MEO),5/9/2020,VHF,46414-2222,13.6615154,123.1900935,86,0,Z,0,AES,IPsec,0.87,4/24/2022
36800-481,astronomical,Low Earth orbit (LEO),9/6/2021,UHF,43063-411,55.5939065,61.6171856,42,1,X,0,AES,IPsec,0.9,4/29/2022
0113-0698,Earth observation,geostationary orbit (GEO),3/10/2021,VHF,61957-2503,28.220406,121.038129,77,1,Z,1,DVB-S2,IPsec,0.4,7/20/2022
0363-0459,communication,geostationary orbit (GEO),4/12/2022,UHF,63941-519,-10.7562012,-77.2717642,14,1,Z,0,TCP/IP,IPsec,0.46,8/27/2022
44827-303,navigation,geostationary orbit (GEO),9/20/2020,Ku-band,76461-022,7.1270158,125.8973301,5,1,Z,0,DVB-S2,IPsec,0.08,8/28/2022
0093-8305,Earth observation,medium Earth orbit (MEO),1/7/2022,UHF,68788-9049,31.563513,104.570694,73,0,Z,0,AES,QKD,0.74,1/10/2022
41442-143,Earth observation,Low Earth orbit (LEO),3/14/2022,Ku-band,0228-2057,-6.5619262,106.3786028,85,1,X,0,DVB-S2,IPsec,0.73,1/11/2022
0363-0666,communication,medium Earth orbit (MEO),3/6/2020,VHF,64117-169,43.4945737,5.8978018,65,1,X,1,AES,IPsec,0.82,11/24/2022
65162-999,communication,Low Earth orbit (LEO),8/16/2022,UHF,24909-618,49.246867,126.991527,16,0,Z,1,SLE,IPsec,0.56,4/6/2022
36987-1529,astronomical,Low Earth orbit (LEO),10/2/2020,VHF,0093-8117,15.8515169,104.1698463,40,1,Z,1,DVB-S2,QKD,0.04,8/13/2022
41167-6202,astronomical,Low Earth orbit (LEO),1/29/2020,UHF,76063-738,41.6460816,42.3111341,62,1,Z,0,TCP/IP,QKD,0.69,6/7/2022
68788-1554,Earth observation,geostationary orbit (GEO),5/9/2021,Ku-band,76237-277,7.2772133,124.4239533,83,1,Z,1,TCP/IP,IPsec,0.8,5/23/2022
52609-0006,astronomical,Low Earth orbit (LEO),12/12/2022,Ku-band,36987-1261,-32.8803027,-71.2497156,95,1,Z,0,DVB-S2,QKD,0.56,10/6/2022
50458-810,navigation,geostationary transfer orbit (GTO),3/12/2021,Ku-band,59746-173,33.8088596,35.6599267,11,1,X,1,SLE,IPsec,0.04,1/22/2022
0143-9784,communication,medium Earth orbit (MEO),12/4/2020,UHF,53808-0435,21.333333,17.016667,83,0,X,0,AES,QKD,0.36,4/28/2022
63323-025,Earth observation,Sun-synchronous orbit (SSO),12/20/2022,Ka-band,36987-2320,44.7695326,19.6480341,31,0,Z,1,TCP/IP,IPsec,0.07,10/10/2022
49288-0278,astronomical,geostationary orbit (GEO),4/16/2021,UHF,64942-1329,60.6739776,17.1574569,83,0,X,1,DVB-S2,IPsec,0.16,6/19/2022
64650-345,Earth observation,geostationary transfer orbit (GTO),3/29/2020,UHF,49852-303,16.3793702,102.3692982,93,0,X,0,TCP/IP,QKD,0.78,9/15/2022
0054-8176,astronomical,geostationary orbit (GEO),3/25/2021,VHF,44911-0070,59.7001688,10.2999444,43,1,X,1,AES,QKD,0.95,1/10/2022
53507-001,astronomical,geostationary orbit (GEO),11/10/2022,Ka-band,0498-2421,39.6352297,-8.6888467,11,1,Z,1,SLE,IPsec,0.37,8/22/2022
53808-0581,navigation,Sun-synchronous orbit (SSO),7/31/2020,VHF,21130-386,25.075889,111.655839,26,1,Z,1,TCP/IP,QKD,0.07,10/28/2022
0168-0135,communication,geostationary transfer orbit (GTO),9/4/2022,VHF,0409-3863,21.0362368,105.7905825,69,0,X,0,CCSDS,QKD,0.4,10/2/2022
75921-648,Earth observation,Sun-synchronous orbit (SSO),3/21/2020,Ka-band,0517-8905,29.708692,120.246863,56,1,X,1,SLE,QKD,0.47,6/18/2022
49349-024,Earth observation,Sun-synchronous orbit (SSO),5/29/2020,Ka-band,64980-142,29.933855,121.370441,20,0,X,1,DVB-S2,IPsec,0.37,6/10/2022
55316-977,astronomical,geostationary transfer orbit (GTO),3/12/2021,UHF,0031-2249,22.7694444,113.6216667,35,0,Z,1,TCP/IP,QKD,0.78,9/2/2022
65923-077,Earth observation,geostationary transfer orbit (GTO),12/17/2021,Ku-band,66391-0603,47.9318074,5.2893597,90,1,X,0,CCSDS,IPsec,0.14,8/8/2022
51389-105,navigation,geostationary transfer orbit (GTO),1/7/2020,UHF,43538-192,40.2487413,72.1297653,95,0,Z,0,CCSDS,IPsec,0.83,11/17/2022
52125-811,astronomical,geostationary orbit (GEO),1/25/2022,UHF,64117-277,-6.507942,106.4794136,69,1,Z,1,SLE,QKD,0.5,3/21/2022
11822-4073,navigation,Sun-synchronous orbit (SSO),11/16/2022,UHF,10819-7005,-7.0051453,110.4381254,46,1,X,1,TCP/IP,QKD,0.33,12/22/2022
49668-001,astronomical,medium Earth orbit (MEO),1/5/2020,Ka-band,33261-090,-6.9126426,112.0386945,51,1,Z,1,DVB-S2,IPsec,0.31,5/16/2022
50268-522,communication,geostationary orbit (GEO),11/2/2021,VHF,35356-028,-17.5332448,-149.5123964,47,1,Z,1,AES,IPsec,0.89,9/19/2022
19392-100,navigation,Sun-synchronous orbit (SSO),3/5/2020,Ku-band,0338-0023,36.406404,94.928484,8,1,X,1,AES,QKD,0.02,7/19/2022
53145-030,communication,Sun-synchronous orbit (SSO),9/15/2022,UHF,57955-5152,39.7472496,-75.5917092,38,1,X,0,SLE,IPsec,0.99,12/25/2022
43353-925,Earth observation,geostationary transfer orbit (GTO),8/10/2022,Ka-band,54296-1001,-7.2033646,111.6630914,96,1,Z,0,DVB-S2,IPsec,0.78,9/24/2022
76449-050,communication,geostationary transfer orbit (GTO),2/10/2021,Ka-band,63868-279,40.7346601,-8.3694671,15,1,Z,0,TCP/IP,IPsec,0.49,10/9/2022
52533-002,Earth observation,geostationary transfer orbit (GTO),6/23/2021,Ku-band,63187-072,29.9997656,-95.1744903,6,1,X,0,DVB-S2,QKD,0.9,7/25/2022
76280-231,communication,geostationary transfer orbit (GTO),6/20/2022,UHF,60760-687,35.343194,107.367016,41,1,X,1,AES,QKD,0.07,6/14/2022
0363-0554,communication,Low Earth orbit (LEO),10/1/2021,Ka-band,60760-167,48.9330384,2.0412764,12,1,Z,1,AES,IPsec,0.97,6/1/2022
51079-951,astronomical,medium Earth orbit (MEO),11/13/2020,Ku-band,54868-4577,0.556948,109.374802,30,0,Z,0,DVB-S2,IPsec,0.65,7/20/2022
42291-751,Earth observation,Low Earth orbit (LEO),11/6/2021,Ku-band,65044-0788,36.865827,116.231416,13,1,Z,0,TCP/IP,IPsec,0.14,4/18/2022
59779-982,astronomical,Low Earth orbit (LEO),12/18/2021,UHF,0168-0326,-6.3710341,105.9039005,42,0,Z,1,TCP/IP,QKD,0.2,8/24/2022
55111-403,astronomical,medium Earth orbit (MEO),5/5/2021,VHF,45861-100,42.7981285,1.5693759,13,0,Z,0,AES,QKD,0.92,2/22/2022
67938-0909,Earth observation,geostationary transfer orbit (GTO),12/31/2020,Ku-band,49349-517,3.5722301,98.6963584,6,0,X,0,CCSDS,IPsec,0.9,3/13/2022
0143-2128,communication,Low Earth orbit (LEO),10/30/2022,UHF,0378-1077,29.9588757,30.9006905,73,0,X,1,TCP/IP,QKD,0.43,11/19/2022
67405-550,Earth observation,medium Earth orbit (MEO),10/26/2020,Ka-band,63667-507,49.373136,16.2794136,25,1,X,0,SLE,QKD,0.43,11/30/2022
52810-702,astronomical,geostationary orbit (GEO),9/6/2020,VHF,67345-0010,13.7246078,100.5148471,50,1,X,1,DVB-S2,IPsec,0.13,4/22/2022
49288-0166,navigation,medium Earth orbit (MEO),9/23/2020,UHF,55315-560,10.9840928,8.060158,16,0,X,0,TCP/IP,QKD,0.43,8/18/2022
67777-400,communication,Low Earth orbit (LEO),9/18/2021,Ku-band,49288-0252,15.2904851,-86.9135745,98,1,X,1,SLE,IPsec,0.66,11/6/2022
47335-539,navigation,geostationary transfer orbit (GTO),12/21/2021,Ka-band,65862-538,-34.7277137,-58.3326356,30,0,Z,0,SLE,QKD,0.98,8/21/2022
0703-2395,Earth observation,Low Earth orbit (LEO),3/19/2020,Ka-band,63045-001,13.6954096,100.5127381,34,1,X,1,AES,IPsec,0.26,2/9/2022
68180-448,communication,Sun-synchronous orbit (SSO),8/17/2022,Ka-band,10742-8349,-7.4782808,-69.8597406,85,0,X,0,DVB-S2,QKD,0.44,12/1/2022
49527-006,navigation,Low Earth orbit (LEO),6/14/2020,UHF,0054-8531,55.499438,36.044913,93,0,X,1,SLE,QKD,0.38,12/1/2022
48417-750,astronomical,medium Earth orbit (MEO),1/21/2022,UHF,63323-125,-29.6148016,-52.1936768,1,0,Z,0,AES,QKD,0.17,10/3/2022
52554-5001,Earth observation,Sun-synchronous orbit (SSO),4/7/2022,VHF,12121-002,2.7239834,101.9476452,6,0,X,1,DVB-S2,QKD,1.0,6/17/2022
53440-006,navigation,geostationary transfer orbit (GTO),2/2/2020,UHF,59021-004,-3.3619906,122.5917078,22,0,Z,0,TCP/IP,IPsec,0.49,6/20/2022
76151-105,navigation,Low Earth orbit (LEO),8/22/2020,UHF,54575-133,8.8732234,104.8162784,78,0,Z,1,AES,IPsec,0.25,11/18/2022
0378-6320,communication,geostationary orbit (GEO),9/1/2022,UHF,12830-754,55.7558852,37.8775383,6,0,X,1,AES,IPsec,0.58,7/3/2022
51009-148,astronomical,Sun-synchronous orbit (SSO),9/9/2020,UHF,51138-108,40.6998888,-73.8076421,13,1,Z,0,TCP/IP,QKD,0.63,4/8/2022
55681-224,astronomical,Sun-synchronous orbit (SSO),3/31/2020,Ka-band,33332-014,29.6516537,31.3159513,99,1,X,1,TCP/IP,QKD,0.59,1/2/2022
65044-1564,Earth observation,Low Earth orbit (LEO),10/27/2021,VHF,0363-0872,43.09476,45.35898,86,0,X,0,TCP/IP,QKD,0.15,9/8/2022
49349-622,navigation,medium Earth orbit (MEO),8/20/2022,Ka-band,0078-0524,40.024391,127.9682453,99,1,X,1,DVB-S2,QKD,0.95,10/19/2022
0008-2001,astronomical,Low Earth orbit (LEO),1/4/2022,VHF,49288-0079,42.0269548,-8.4748384,48,1,X,0,TCP/IP,QKD,0.46,4/12/2022
66915-604,navigation,medium Earth orbit (MEO),5/9/2022,Ku-band,59528-1988,45.494149,2.5726619,86,1,Z,0,TCP/IP,IPsec,0.73,6/12/2022
21695-822,navigation,geostationary transfer orbit (GTO),10/12/2020,Ka-band,0591-5783,11.7367959,41.0822359,18,1,X,1,SLE,QKD,0.91,2/22/2022
67767-135,communication,Low Earth orbit (LEO),6/8/2022,Ku-band,36987-2331,41.4781837,-7.9642644,51,1,X,1,CCSDS,IPsec,0.57,12/7/2022
58232-9814,navigation,geostationary transfer orbit (GTO),8/29/2022,VHF,24385-403,14.6688068,121.1138058,37,1,X,1,AES,IPsec,0.87,7/27/2022
50458-861,astronomical,medium Earth orbit (MEO),5/7/2021,Ka-band,34666-001,18.0735299,-15.9582372,68,0,Z,0,TCP/IP,IPsec,0.96,5/30/2022
0904-5186,navigation,geostationary orbit (GEO),5/7/2020,Ka-band,41250-666,39.858427,116.287149,15,1,X,0,CCSDS,QKD,0.75,1/26/2022
51991-074,Earth observation,geostationary orbit (GEO),3/4/2020,VHF,52959-897,29.808374,120.118331,3,1,Z,1,SLE,QKD,0.55,4/25/2022
16252-514,communication,geostationary orbit (GEO),9/25/2020,UHF,10596-400,40.323749,-8.7980385,14,0,X,1,CCSDS,IPsec,0.99,5/1/2022
67938-0990,communication,geostationary orbit (GEO),12/31/2021,VHF,0075-8004,31.5259047,121.7614898,84,1,X,0,DVB-S2,QKD,0.39,3/7/2022
13733-050,astronomical,Low Earth orbit (LEO),9/20/2022,Ku-band,65841-058,-33.0482707,-71.4408752,2,0,Z,1,DVB-S2,IPsec,0.01,7/3/2022
60207-001,Earth observation,Sun-synchronous orbit (SSO),7/16/2020,Ka-band,0054-4581,15.0251887,99.9241575,99,1,X,1,SLE,IPsec,0.21,3/20/2022
57520-0546,communication,Low Earth orbit (LEO),2/14/2021,Ka-band,64735-011,-13.3964033,-72.0514291,33,1,Z,1,SLE,QKD,0.88,5/21/2022
